=> Saving data in Logs/MNISTmy_attack_defense~try=4
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  32
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.2712 test loss 2.287352 best test_acc 0.2712
e 1 | malicious users: 0 | test acc 0.3533 test loss 2.274083 best test_acc 0.3533
e 2 | malicious users: 0 | test acc 0.3286 test loss 2.257678 best test_acc 0.3533
e 3 | malicious users: 0 | test acc 0.4212 test loss 2.235970 best test_acc 0.4212
e 4 | malicious users: 0 | test acc 0.4087 test loss 2.198978 best test_acc 0.4212
e 5 | malicious users: 0 | test acc 0.3778 test loss 2.161536 best test_acc 0.4212
e 6 | malicious users: 0 | test acc 0.4631 test loss 2.107158 best test_acc 0.4631
e 7 | malicious users: 0 | test acc 0.5672 test loss 2.005561 best test_acc 0.5672
e 8 | malicious users: 0 | test acc 0.6293 test loss 1.859661 best test_acc 0.6293
e 9 | malicious users: 0 | test acc 0.6408 test loss 1.605810 best test_acc 0.6408
e 10 | malicious users: 0 | test acc 0.6186 test loss 1.411765 best test_acc 0.6408
e 11 | malicious users: 0 | test acc 0.6903 test loss 1.279630 best test_acc 0.6903
e 12 | malicious users: 0 | test acc 0.6844 test loss 1.173096 best test_acc 0.6903
e 13 | malicious users: 0 | test acc 0.6792 test loss 1.181353 best test_acc 0.6903
e 14 | malicious users: 0 | test acc 0.6631 test loss 1.135776 best test_acc 0.6903
e 15 | malicious users: 0 | test acc 0.7080 test loss 1.028508 best test_acc 0.7080
e 16 | malicious users: 0 | test acc 0.7382 test loss 0.995519 best test_acc 0.7382
e 17 | malicious users: 0 | test acc 0.7159 test loss 0.971361 best test_acc 0.7382
e 18 | malicious users: 0 | test acc 0.7158 test loss 0.973840 best test_acc 0.7382
e 19 | malicious users: 0 | test acc 0.7386 test loss 0.918045 best test_acc 0.7386
e 20 | malicious users: 0 | test acc 0.6522 test loss 0.980177 best test_acc 0.7386
e 21 | malicious users: 0 | test acc 0.7072 test loss 0.961675 best test_acc 0.7386
e 22 | malicious users: 0 | test acc 0.7573 test loss 0.822290 best test_acc 0.7573
e 23 | malicious users: 0 | test acc 0.7220 test loss 0.902951 best test_acc 0.7573
e 24 | malicious users: 0 | test acc 0.8078 test loss 0.726737 best test_acc 0.8078
e 25 | malicious users: 0 | test acc 0.7345 test loss 0.886483 best test_acc 0.8078
e 26 | malicious users: 0 | test acc 0.7281 test loss 0.892164 best test_acc 0.8078
e 27 | malicious users: 0 | test acc 0.7390 test loss 0.810763 best test_acc 0.8078
e 28 | malicious users: 0 | test acc 0.7159 test loss 0.899723 best test_acc 0.8078
e 29 | malicious users: 0 | test acc 0.8341 test loss 0.652991 best test_acc 0.8341
e 30 | malicious users: 0 | test acc 0.7917 test loss 0.674028 best test_acc 0.8341
e 31 | malicious users: 0 | test acc 0.8177 test loss 0.639626 best test_acc 0.8341
e 32 | malicious users: 0 | test acc 0.8346 test loss 0.604655 best test_acc 0.8346
e 33 | malicious users: 0 | test acc 0.8101 test loss 0.678753 best test_acc 0.8346
e 34 | malicious users: 0 | test acc 0.7885 test loss 0.683924 best test_acc 0.8346
e 35 | malicious users: 0 | test acc 0.8152 test loss 0.649399 best test_acc 0.8346
e 36 | malicious users: 0 | test acc 0.7390 test loss 0.690840 best test_acc 0.8346
e 37 | malicious users: 0 | test acc 0.8191 test loss 0.657573 best test_acc 0.8346
e 38 | malicious users: 0 | test acc 0.8451 test loss 0.576389 best test_acc 0.8451
e 39 | malicious users: 0 | test acc 0.7931 test loss 0.680353 best test_acc 0.8451
e 40 | malicious users: 0 | test acc 0.8638 test loss 0.564657 best test_acc 0.8638
e 41 | malicious users: 0 | test acc 0.8425 test loss 0.550860 best test_acc 0.8638
e 42 | malicious users: 0 | test acc 0.7436 test loss 0.750476 best test_acc 0.8638
e 43 | malicious users: 0 | test acc 0.8541 test loss 0.624342 best test_acc 0.8638
e 44 | malicious users: 0 | test acc 0.8192 test loss 0.563592 best test_acc 0.8638
e 45 | malicious users: 0 | test acc 0.7967 test loss 0.644463 best test_acc 0.8638
e 46 | malicious users: 0 | test acc 0.8520 test loss 0.515849 best test_acc 0.8638
e 47 | malicious users: 0 | test acc 0.8554 test loss 0.511350 best test_acc 0.8638
e 48 | malicious users: 0 | test acc 0.7898 test loss 0.643501 best test_acc 0.8638
e 49 | malicious users: 0 | test acc 0.8760 test loss 0.492414 best test_acc 0.8760
e 50 | malicious users: 0 | test acc 0.8030 test loss 0.603978 best test_acc 0.8760
e 51 | malicious users: 0 | test acc 0.8658 test loss 0.531242 best test_acc 0.8760
e 52 | malicious users: 0 | test acc 0.8714 test loss 0.454502 best test_acc 0.8760
e 53 | malicious users: 0 | test acc 0.8607 test loss 0.497650 best test_acc 0.8760
e 54 | malicious users: 0 | test acc 0.8642 test loss 0.481610 best test_acc 0.8760
e 55 | malicious users: 0 | test acc 0.8065 test loss 0.604341 best test_acc 0.8760
e 56 | malicious users: 0 | test acc 0.8618 test loss 0.544742 best test_acc 0.8760
e 57 | malicious users: 0 | test acc 0.8305 test loss 0.533104 best test_acc 0.8760
e 58 | malicious users: 0 | test acc 0.8701 test loss 0.501542 best test_acc 0.8760
e 59 | malicious users: 0 | test acc 0.8642 test loss 0.481328 best test_acc 0.8760
e 60 | malicious users: 0 | test acc 0.8697 test loss 0.470512 best test_acc 0.8760
e 61 | malicious users: 0 | test acc 0.8671 test loss 0.465085 best test_acc 0.8760
e 62 | malicious users: 0 | test acc 0.8848 test loss 0.447091 best test_acc 0.8848
e 63 | malicious users: 0 | test acc 0.8886 test loss 0.406682 best test_acc 0.8886
e 64 | malicious users: 0 | test acc 0.8652 test loss 0.494219 best test_acc 0.8886
e 65 | malicious users: 0 | test acc 0.8770 test loss 0.459512 best test_acc 0.8886
e 66 | malicious users: 0 | test acc 0.8790 test loss 0.442533 best test_acc 0.8886
e 67 | malicious users: 0 | test acc 0.8249 test loss 0.548527 best test_acc 0.8886
e 68 | malicious users: 0 | test acc 0.8705 test loss 0.466175 best test_acc 0.8886
e 69 | malicious users: 0 | test acc 0.8870 test loss 0.402342 best test_acc 0.8886
e 70 | malicious users: 0 | test acc 0.8269 test loss 0.533841 best test_acc 0.8886
e 71 | malicious users: 0 | test acc 0.8758 test loss 0.463870 best test_acc 0.8886
e 72 | malicious users: 0 | test acc 0.8876 test loss 0.406836 best test_acc 0.8886
e 73 | malicious users: 0 | test acc 0.8628 test loss 0.456479 best test_acc 0.8886
e 74 | malicious users: 0 | test acc 0.8840 test loss 0.443455 best test_acc 0.8886
e 75 | malicious users: 0 | test acc 0.8913 test loss 0.387227 best test_acc 0.8913
e 76 | malicious users: 0 | test acc 0.8195 test loss 0.538469 best test_acc 0.8913
e 77 | malicious users: 0 | test acc 0.8941 test loss 0.396638 best test_acc 0.8941
e 78 | malicious users: 0 | test acc 0.8929 test loss 0.412678 best test_acc 0.8941
e 79 | malicious users: 0 | test acc 0.8928 test loss 0.383089 best test_acc 0.8941
e 80 | malicious users: 0 | test acc 0.8600 test loss 0.470847 best test_acc 0.8941
e 81 | malicious users: 0 | test acc 0.8949 test loss 0.416667 best test_acc 0.8949
e 82 | malicious users: 0 | test acc 0.8904 test loss 0.374372 best test_acc 0.8949
e 83 | malicious users: 0 | test acc 0.8118 test loss 0.556488 best test_acc 0.8949
e 84 | malicious users: 0 | test acc 0.8863 test loss 0.440066 best test_acc 0.8949
e 85 | malicious users: 0 | test acc 0.8837 test loss 0.416223 best test_acc 0.8949
e 86 | malicious users: 0 | test acc 0.8913 test loss 0.415297 best test_acc 0.8949
e 87 | malicious users: 0 | test acc 0.8871 test loss 0.390817 best test_acc 0.8949
e 88 | malicious users: 0 | test acc 0.8953 test loss 0.379160 best test_acc 0.8953
e 89 | malicious users: 0 | test acc 0.8920 test loss 0.398127 best test_acc 0.8953
e 90 | malicious users: 0 | test acc 0.8942 test loss 0.368060 best test_acc 0.8953
e 91 | malicious users: 0 | test acc 0.8929 test loss 0.379317 best test_acc 0.8953
e 92 | malicious users: 0 | test acc 0.8901 test loss 0.393598 best test_acc 0.8953
e 93 | malicious users: 0 | test acc 0.9003 test loss 0.366587 best test_acc 0.9003
e 94 | malicious users: 0 | test acc 0.8973 test loss 0.366663 best test_acc 0.9003
e 95 | malicious users: 0 | test acc 0.9011 test loss 0.352558 best test_acc 0.9011
e 96 | malicious users: 0 | test acc 0.8944 test loss 0.374020 best test_acc 0.9011
e 97 | malicious users: 0 | test acc 0.9094 test loss 0.346382 best test_acc 0.9094
e 98 | malicious users: 0 | test acc 0.9028 test loss 0.344771 best test_acc 0.9094
e 99 | malicious users: 0 | test acc 0.9041 test loss 0.346323 best test_acc 0.9094
e 100 | malicious users: 0 | test acc 0.9058 test loss 0.342836 best test_acc 0.9094
e 101 | malicious users: 0 | test acc 0.9040 test loss 0.348283 best test_acc 0.9094
e 102 | malicious users: 0 | test acc 0.9010 test loss 0.348458 best test_acc 0.9094
e 103 | malicious users: 0 | test acc 0.8976 test loss 0.388588 best test_acc 0.9094
e 104 | malicious users: 0 | test acc 0.9017 test loss 0.345974 best test_acc 0.9094
e 105 | malicious users: 0 | test acc 0.9036 test loss 0.347112 best test_acc 0.9094
e 106 | malicious users: 0 | test acc 0.9046 test loss 0.334540 best test_acc 0.9094
e 107 | malicious users: 0 | test acc 0.9026 test loss 0.334801 best test_acc 0.9094
e 108 | malicious users: 0 | test acc 0.9080 test loss 0.342529 best test_acc 0.9094
e 109 | malicious users: 0 | test acc 0.9064 test loss 0.337939 best test_acc 0.9094
e 110 | malicious users: 0 | test acc 0.9097 test loss 0.329216 best test_acc 0.9097
e 111 | malicious users: 0 | test acc 0.9036 test loss 0.337051 best test_acc 0.9097
e 112 | malicious users: 0 | test acc 0.9070 test loss 0.337252 best test_acc 0.9097
e 113 | malicious users: 0 | test acc 0.8943 test loss 0.384924 best test_acc 0.9097
e 114 | malicious users: 0 | test acc 0.9075 test loss 0.342448 best test_acc 0.9097
e 115 | malicious users: 0 | test acc 0.8986 test loss 0.357805 best test_acc 0.9097
e 116 | malicious users: 0 | test acc 0.9123 test loss 0.333508 best test_acc 0.9123
e 117 | malicious users: 0 | test acc 0.9091 test loss 0.326450 best test_acc 0.9123
e 118 | malicious users: 0 | test acc 0.9063 test loss 0.340359 best test_acc 0.9123
e 119 | malicious users: 0 | test acc 0.9086 test loss 0.330572 best test_acc 0.9123
e 120 | malicious users: 0 | test acc 0.8915 test loss 0.369539 best test_acc 0.9123
e 121 | malicious users: 0 | test acc 0.9102 test loss 0.323798 best test_acc 0.9123
e 122 | malicious users: 0 | test acc 0.9096 test loss 0.332955 best test_acc 0.9123
e 123 | malicious users: 0 | test acc 0.9102 test loss 0.326320 best test_acc 0.9123
e 124 | malicious users: 0 | test acc 0.8966 test loss 0.365728 best test_acc 0.9123
