=> Saving data in Logs/MNISTmy_attack_defense~try=9
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2359 test loss 2.248021 best test_acc 0.2359
e 1 | malicious users: 5 | test acc 0.5452 test loss 1.915030 best test_acc 0.5452
e 2 | malicious users: 5 | test acc 0.4654 test loss 2.115657 best test_acc 0.5452
e 3 | malicious users: 5 | test acc 0.5029 test loss 1.612771 best test_acc 0.5452
e 4 | malicious users: 5 | test acc 0.6049 test loss 1.916815 best test_acc 0.6049
e 5 | malicious users: 5 | test acc 0.7009 test loss 1.690892 best test_acc 0.7009
e 6 | malicious users: 5 | test acc 0.6133 test loss 1.732321 best test_acc 0.7009
e 7 | malicious users: 5 | test acc 0.7051 test loss 1.327806 best test_acc 0.7051
e 8 | malicious users: 5 | test acc 0.6855 test loss 1.330811 best test_acc 0.7051
e 9 | malicious users: 5 | test acc 0.8203 test loss 1.178670 best test_acc 0.8203
e 10 | malicious users: 5 | test acc 0.7933 test loss 1.042200 best test_acc 0.8203
e 11 | malicious users: 5 | test acc 0.8200 test loss 1.167947 best test_acc 0.8203
e 12 | malicious users: 5 | test acc 0.8288 test loss 1.103826 best test_acc 0.8288
e 13 | malicious users: 5 | test acc 0.7878 test loss 0.995274 best test_acc 0.8288
e 14 | malicious users: 5 | test acc 0.8499 test loss 1.069368 best test_acc 0.8499
e 15 | malicious users: 5 | test acc 0.8667 test loss 0.809924 best test_acc 0.8667
e 16 | malicious users: 5 | test acc 0.8532 test loss 0.979902 best test_acc 0.8667
e 17 | malicious users: 5 | test acc 0.8467 test loss 1.010625 best test_acc 0.8667
e 18 | malicious users: 5 | test acc 0.8906 test loss 0.844675 best test_acc 0.8906
e 19 | malicious users: 5 | test acc 0.8787 test loss 0.920262 best test_acc 0.8906
e 20 | malicious users: 5 | test acc 0.8770 test loss 0.816027 best test_acc 0.8906
